File: points_prob1010_1.txt, Average Fitness: 37.04404009603535, Average Time: 0.9036109447479248
File: points_prob1010_10.txt, Average Fitness: 46.10474643724872, Average Time: 0.44381260871887207
File: points_prob1010_100.txt, Average Fitness: 43.8942161587336, Average Time: 0.47374629974365234
File: points_prob1010_11.txt, Average Fitness: 40.39920791743903, Average Time: 0.9564533233642578
File: points_prob1010_12.txt, Average Fitness: 41.42578524515402, Average Time: 1.0740869045257568
File: points_prob1010_13.txt, Average Fitness: 44.213166264028914, Average Time: 0.901587963104248
File: points_prob1010_14.txt, Average Fitness: 40.00810658447834, Average Time: 0.7518784999847412
File: points_prob1010_15.txt, Average Fitness: 33.34943618757529, Average Time: 0.8557155132293701
File: points_prob1010_16.txt, Average Fitness: 43.24533273072364, Average Time: 0.6991302967071533
File: points_prob1010_17.txt, Average Fitness: 44.120271566396255, Average Time: 0.6751916408538818
File: points_prob1010_18.txt, Average Fitness: 40.512022035180955, Average Time: 0.6802091598510742
File: points_prob1010_19.txt, Average Fitness: 32.10874528856987, Average Time: 0.7350354194641113
File: points_prob1010_2.txt, Average Fitness: 43.298668711227876, Average Time: 1.1369717121124268
File: points_prob1010_20.txt, Average Fitness: 41.67532957407663, Average Time: 0.6719613075256348
File: points_prob1010_21.txt, Average Fitness: 42.87461552694574, Average Time: 0.8856856822967529
File: points_prob1010_22.txt, Average Fitness: 36.39537635189231, Average Time: 0.5495007038116455
File: points_prob1010_23.txt, Average Fitness: 33.92482755704306, Average Time: 0.5200984477996826
File: points_prob1010_24.txt, Average Fitness: 43.492539464356085, Average Time: 0.4198644161224365
File: points_prob1010_25.txt, Average Fitness: 40.31035902111512, Average Time: 0.9831664562225342
File: points_prob1010_26.txt, Average Fitness: 45.62787431721099, Average Time: 0.9335024356842041
File: points_prob1010_27.txt, Average Fitness: 39.89532701724772, Average Time: 1.02323579788208
File: points_prob1010_28.txt, Average Fitness: 43.53963476635948, Average Time: 0.43286800384521484
File: points_prob1010_29.txt, Average Fitness: 44.108302202107765, Average Time: 0.8098063468933105
File: points_prob1010_3.txt, Average Fitness: 42.49756893690922, Average Time: 0.9783849716186523
File: points_prob1010_30.txt, Average Fitness: 42.88206610833928, Average Time: 0.6273214817047119
File: points_prob1010_31.txt, Average Fitness: 42.56985354584007, Average Time: 1.2995526790618896
File: points_prob1010_32.txt, Average Fitness: 43.41226950601501, Average Time: 1.038252353668213
File: points_prob1010_33.txt, Average Fitness: 37.6742252311624, Average Time: 0.9594318866729736
File: points_prob1010_34.txt, Average Fitness: 41.21715180436394, Average Time: 0.6240711212158203
File: points_prob1010_35.txt, Average Fitness: 42.1005720049732, Average Time: 0.7141151428222656
File: points_prob1010_36.txt, Average Fitness: 44.68468693280051, Average Time: 0.7180516719818115
File: points_prob1010_37.txt, Average Fitness: 44.66034982590287, Average Time: 0.7166037559509277
File: points_prob1010_38.txt, Average Fitness: 36.869101927648266, Average Time: 1.0831289291381836
File: points_prob1010_39.txt, Average Fitness: 35.59082733185548, Average Time: 1.1967980861663818
File: points_prob1010_4.txt, Average Fitness: 43.788952840940595, Average Time: 0.7330632209777832
File: points_prob1010_40.txt, Average Fitness: 39.121971509439646, Average Time: 0.7828783988952637
File: points_prob1010_41.txt, Average Fitness: 44.97442002070507, Average Time: 0.30022454261779785
File: points_prob1010_42.txt, Average Fitness: 33.509238125075385, Average Time: 0.7170805931091309
File: points_prob1010_43.txt, Average Fitness: 40.50843147464181, Average Time: 0.5455431938171387
File: points_prob1010_44.txt, Average Fitness: 42.875449973324464, Average Time: 0.8910014629364014
File: points_prob1010_45.txt, Average Fitness: 40.740045946562134, Average Time: 0.9255445003509521
File: points_prob1010_46.txt, Average Fitness: 38.43230751256457, Average Time: 0.8487973213195801
File: points_prob1010_47.txt, Average Fitness: 38.306253417140056, Average Time: 0.47273755073547363
File: points_prob1010_48.txt, Average Fitness: 45.77878177733748, Average Time: 0.5834686756134033
File: points_prob1010_49.txt, Average Fitness: 35.99820662859892, Average Time: 0.7460043430328369
File: points_prob1010_5.txt, Average Fitness: 33.47917964144092, Average Time: 1.0127968788146973
File: points_prob1010_50.txt, Average Fitness: 43.462334000201835, Average Time: 1.0741257667541504
File: points_prob1010_51.txt, Average Fitness: 44.859791299416806, Average Time: 1.1389551162719727
File: points_prob1010_52.txt, Average Fitness: 40.83944512678518, Average Time: 0.9185464382171631
File: points_prob1010_53.txt, Average Fitness: 37.81019315203753, Average Time: 0.8288240432739258
File: points_prob1010_54.txt, Average Fitness: 45.346930384052094, Average Time: 0.675222635269165
File: points_prob1010_55.txt, Average Fitness: 41.9130105578527, Average Time: 0.6138613224029541
File: points_prob1010_56.txt, Average Fitness: 43.46271206967998, Average Time: 0.9066035747528076
File: points_prob1010_57.txt, Average Fitness: 42.83948320463986, Average Time: 0.8776524066925049
File: points_prob1010_58.txt, Average Fitness: 48.93421143433099, Average Time: 0.582442045211792
File: points_prob1010_59.txt, Average Fitness: 52.3319039608199, Average Time: 0.713139533996582
File: points_prob1010_6.txt, Average Fitness: 40.11311184067651, Average Time: 0.6581935882568359
File: points_prob1010_60.txt, Average Fitness: 40.83930203225354, Average Time: 0.7490262985229492
File: points_prob1010_61.txt, Average Fitness: 44.41820126327222, Average Time: 0.39397358894348145
