File: points_prob210_1.txt, Average Fitness: 807.0849735750373, Average Time: 1.8819677829742432
File: points_prob210_10.txt, Average Fitness: 808.6969131386327, Average Time: 3.777467966079712
File: points_prob210_100.txt, Average Fitness: 822.5798676605825, Average Time: 2.312774419784546
File: points_prob210_11.txt, Average Fitness: 790.9452328161794, Average Time: 2.1554229259490967
File: points_prob210_12.txt, Average Fitness: 815.1385009139155, Average Time: 2.461411952972412
File: points_prob210_13.txt, Average Fitness: 792.4243408972206, Average Time: 1.9397597312927246
File: points_prob210_14.txt, Average Fitness: 846.62515402793, Average Time: 2.013638496398926
File: points_prob210_15.txt, Average Fitness: 843.1799086303793, Average Time: 2.719871997833252
File: points_prob210_16.txt, Average Fitness: 820.9775018992051, Average Time: 2.1715240478515625
File: points_prob210_17.txt, Average Fitness: 871.7073888923815, Average Time: 2.14329195022583
File: points_prob210_18.txt, Average Fitness: 809.2652649795868, Average Time: 2.2040627002716064
File: points_prob210_19.txt, Average Fitness: 839.3784183307889, Average Time: 2.92020320892334
File: points_prob210_2.txt, Average Fitness: 809.8779257374714, Average Time: 2.0086257457733154
File: points_prob210_20.txt, Average Fitness: 830.3820419592568, Average Time: 3.0159590244293213
File: points_prob210_21.txt, Average Fitness: 830.6248031049149, Average Time: 2.755667209625244
File: points_prob210_22.txt, Average Fitness: 812.5689104097693, Average Time: 2.624965190887451
File: points_prob210_23.txt, Average Fitness: 828.432739216246, Average Time: 2.784543991088867
File: points_prob210_24.txt, Average Fitness: 844.5731634470242, Average Time: 2.3916401863098145
File: points_prob210_25.txt, Average Fitness: 818.8882314188218, Average Time: 2.4185168743133545
File: points_prob210_26.txt, Average Fitness: 815.0989260253822, Average Time: 2.5013210773468018
File: points_prob210_27.txt, Average Fitness: 806.269949709537, Average Time: 3.097693681716919
File: points_prob210_28.txt, Average Fitness: 839.9127387274466, Average Time: 2.1586923599243164
File: points_prob210_29.txt, Average Fitness: 814.9462247381948, Average Time: 2.8603739738464355
File: points_prob210_3.txt, Average Fitness: 818.7511382380242, Average Time: 2.3849310874938965
File: points_prob210_30.txt, Average Fitness: 810.5316185894956, Average Time: 3.00795316696167
File: points_prob210_31.txt, Average Fitness: 808.4141186724526, Average Time: 2.4963479042053223
File: points_prob210_32.txt, Average Fitness: 818.7962838145221, Average Time: 1.7134473323822021
File: points_prob210_33.txt, Average Fitness: 839.3903157590495, Average Time: 2.4783687591552734
File: points_prob210_34.txt, Average Fitness: 823.1779475972796, Average Time: 1.6665802001953125
File: points_prob210_35.txt, Average Fitness: 829.2308881006937, Average Time: 3.0942890644073486
File: points_prob210_36.txt, Average Fitness: 818.0660181194887, Average Time: 2.1023740768432617
File: points_prob210_37.txt, Average Fitness: 838.3725085871112, Average Time: 3.7958855628967285
File: points_prob210_38.txt, Average Fitness: 824.5910282609123, Average Time: 2.2649290561676025
File: points_prob210_39.txt, Average Fitness: 816.8684265711365, Average Time: 1.6555724143981934
File: points_prob210_4.txt, Average Fitness: 817.5425080421869, Average Time: 3.7070674896240234
File: points_prob210_40.txt, Average Fitness: 809.4687121715779, Average Time: 2.4475505352020264
File: points_prob210_41.txt, Average Fitness: 829.7852916431717, Average Time: 1.8560075759887695
File: points_prob210_42.txt, Average Fitness: 821.927770236625, Average Time: 2.570150375366211
File: points_prob210_43.txt, Average Fitness: 803.307141263122, Average Time: 1.7653865814208984
File: points_prob210_44.txt, Average Fitness: 837.7352433995727, Average Time: 3.2134132385253906
File: points_prob210_45.txt, Average Fitness: 828.5746555519681, Average Time: 1.79921555519104
File: points_prob210_46.txt, Average Fitness: 797.6447147414641, Average Time: 2.1767303943634033
File: points_prob210_47.txt, Average Fitness: 837.7901633432331, Average Time: 2.502307891845703
File: points_prob210_48.txt, Average Fitness: 820.9667795282362, Average Time: 2.1981616020202637
File: points_prob210_49.txt, Average Fitness: 808.2499627027948, Average Time: 2.5641021728515625
File: points_prob210_5.txt, Average Fitness: 820.7032670806666, Average Time: 2.491360664367676
File: points_prob210_50.txt, Average Fitness: 838.6514793316474, Average Time: 2.9680752754211426
File: points_prob210_51.txt, Average Fitness: 806.6149645383522, Average Time: 2.8523683547973633
File: points_prob210_52.txt, Average Fitness: 840.0480680573462, Average Time: 3.0309224128723145
File: points_prob210_53.txt, Average Fitness: 785.4345261757892, Average Time: 2.242002248764038
File: points_prob210_54.txt, Average Fitness: 840.1158053126719, Average Time: 2.4763448238372803
File: points_prob210_55.txt, Average Fitness: 828.979753650164, Average Time: 2.409590244293213
File: points_prob210_56.txt, Average Fitness: 821.9978347258796, Average Time: 3.3539891242980957
File: points_prob210_57.txt, Average Fitness: 806.361168326292, Average Time: 2.0924322605133057
File: points_prob210_58.txt, Average Fitness: 819.0797725629146, Average Time: 1.871023416519165
