File: points_prob110_1.txt, Average Fitness: 417.862439574288, Average Time: 2.2595880031585693
File: points_prob110_10.txt, Average Fitness: 404.63042360856537, Average Time: 1.8759822845458984
File: points_prob110_100.txt, Average Fitness: 413.5102695422054, Average Time: 1.7991878986358643
File: points_prob110_11.txt, Average Fitness: 418.6385222524684, Average Time: 2.2459890842437744
File: points_prob110_12.txt, Average Fitness: 411.14154933874903, Average Time: 1.4860262870788574
File: points_prob110_13.txt, Average Fitness: 400.994837730506, Average Time: 2.0894081592559814
File: points_prob110_14.txt, Average Fitness: 406.93202151684085, Average Time: 1.8785324096679688
File: points_prob110_15.txt, Average Fitness: 422.402856808678, Average Time: 1.7921650409698486
File: points_prob110_16.txt, Average Fitness: 402.03850070624446, Average Time: 1.5089900493621826
File: points_prob110_17.txt, Average Fitness: 390.5282868644556, Average Time: 1.4610917568206787
File: points_prob110_18.txt, Average Fitness: 401.52951540518893, Average Time: 1.4590694904327393
File: points_prob110_19.txt, Average Fitness: 402.2214616856653, Average Time: 1.3923180103302002
File: points_prob110_2.txt, Average Fitness: 427.2438198259214, Average Time: 1.3922662734985352
File: points_prob110_20.txt, Average Fitness: 420.83413707589466, Average Time: 2.0275747776031494
File: points_prob110_21.txt, Average Fitness: 394.3443288507016, Average Time: 1.6167371273040771
File: points_prob110_22.txt, Average Fitness: 406.02258102864585, Average Time: 1.6336696147918701
File: points_prob110_23.txt, Average Fitness: 417.34316896777614, Average Time: 1.2945592403411865
File: points_prob110_24.txt, Average Fitness: 427.38762602620005, Average Time: 1.8170082569122314
File: points_prob110_25.txt, Average Fitness: 399.7628979194823, Average Time: 1.1938438415527344
File: points_prob110_26.txt, Average Fitness: 414.5843874128195, Average Time: 1.372359275817871
File: points_prob110_27.txt, Average Fitness: 413.0164267330043, Average Time: 1.744361162185669
File: points_prob110_28.txt, Average Fitness: 422.3680138109132, Average Time: 1.5627789497375488
File: points_prob110_29.txt, Average Fitness: 429.08067419173244, Average Time: 1.44218111038208
File: points_prob110_3.txt, Average Fitness: 388.5389053772566, Average Time: 1.9337868690490723
File: points_prob110_30.txt, Average Fitness: 410.3477792352803, Average Time: 1.7971935272216797
File: points_prob110_31.txt, Average Fitness: 424.36572901718205, Average Time: 1.8520705699920654
File: points_prob110_32.txt, Average Fitness: 412.6785618581651, Average Time: 1.7134268283843994
File: points_prob110_33.txt, Average Fitness: 419.6161368351561, Average Time: 1.64658784866333
File: points_prob110_34.txt, Average Fitness: 400.0772024328278, Average Time: 1.6385810375213623
File: points_prob110_35.txt, Average Fitness: 388.93733492597323, Average Time: 1.9398462772369385
File: points_prob110_36.txt, Average Fitness: 409.4534215163218, Average Time: 2.0714476108551025
File: points_prob110_37.txt, Average Fitness: 411.4872614788477, Average Time: 1.5678067207336426
File: points_prob110_38.txt, Average Fitness: 418.02983291734125, Average Time: 1.7972307205200195
File: points_prob110_39.txt, Average Fitness: 411.3333958086647, Average Time: 1.6296288967132568
