File: points_prob110_1.txt, Average Fitness: 418.20215461619307, Average Time: 1.7034458875656129
File: points_prob110_10.txt, Average Fitness: 404.4676205267857, Average Time: 1.785722589492798
File: points_prob110_100.txt, Average Fitness: 413.61986382160694, Average Time: 2.370958089828491
File: points_prob110_11.txt, Average Fitness: 419.15532871278367, Average Time: 2.183164191246033
File: points_prob110_12.txt, Average Fitness: 411.55756008843235, Average Time: 2.335479736328125
File: points_prob110_13.txt, Average Fitness: 400.8494984006678, Average Time: 2.2341075420379637
File: points_prob110_14.txt, Average Fitness: 407.1599223549746, Average Time: 2.1592476606369018
File: points_prob110_15.txt, Average Fitness: 422.5408314363061, Average Time: 2.5473257541656493
File: points_prob110_16.txt, Average Fitness: 401.95051960246724, Average Time: 2.293523335456848
File: points_prob110_17.txt, Average Fitness: 391.44797764616993, Average Time: 2.0611329078674316
File: points_prob110_18.txt, Average Fitness: 401.4910551196184, Average Time: 2.4640748739242553
File: points_prob110_19.txt, Average Fitness: 402.03843755068266, Average Time: 2.455139660835266
File: points_prob110_2.txt, Average Fitness: 427.2757151816956, Average Time: 2.2744832038879395
File: points_prob110_20.txt, Average Fitness: 421.3647484778068, Average Time: 2.1988345623016357
File: points_prob110_21.txt, Average Fitness: 395.5859076044312, Average Time: 2.2059019088745115
File: points_prob110_22.txt, Average Fitness: 406.5239886113743, Average Time: 2.131905698776245
File: points_prob110_23.txt, Average Fitness: 416.05836690153774, Average Time: 2.307540202140808
File: points_prob110_24.txt, Average Fitness: 427.5575771508943, Average Time: 2.2336838245391846
File: points_prob110_25.txt, Average Fitness: 399.3255894362895, Average Time: 2.21977903842926
File: points_prob110_26.txt, Average Fitness: 414.7151348256158, Average Time: 2.3379624128341674
File: points_prob110_27.txt, Average Fitness: 413.1753668734585, Average Time: 2.146282982826233
File: points_prob110_28.txt, Average Fitness: 422.27194659038423, Average Time: 2.489618015289307
File: points_prob110_29.txt, Average Fitness: 427.78144749222747, Average Time: 2.288694953918457
File: points_prob110_3.txt, Average Fitness: 388.88661206070014, Average Time: 2.243712568283081
File: points_prob110_30.txt, Average Fitness: 411.633213084753, Average Time: 2.2235262393951416
File: points_prob110_31.txt, Average Fitness: 424.789860097354, Average Time: 2.297001576423645
File: points_prob110_32.txt, Average Fitness: 413.0243861656569, Average Time: 2.5726664781570436
File: points_prob110_33.txt, Average Fitness: 420.3445860140935, Average Time: 2.321234917640686
File: points_prob110_34.txt, Average Fitness: 401.372585241666, Average Time: 1.9828923702239991
File: points_prob110_35.txt, Average Fitness: 388.96255669307357, Average Time: 2.108950448036194
File: points_prob110_36.txt, Average Fitness: 409.4819516764032, Average Time: 2.4699166774749757
File: points_prob110_37.txt, Average Fitness: 411.4838689849238, Average Time: 2.565462112426758
File: points_prob110_38.txt, Average Fitness: 418.28337358246006, Average Time: 2.451786971092224
File: points_prob110_39.txt, Average Fitness: 411.5804727745666, Average Time: 2.5397740840911864
File: points_prob110_4.txt, Average Fitness: 407.56680575844797, Average Time: 2.4850131273269653
File: points_prob110_40.txt, Average Fitness: 398.9553358923254, Average Time: 1.9697900772094727
File: points_prob110_41.txt, Average Fitness: 409.5073571027916, Average Time: 2.3416945695877076
File: points_prob110_42.txt, Average Fitness: 405.08704901037265, Average Time: 2.0465885639190673
File: points_prob110_43.txt, Average Fitness: 418.28949286690374, Average Time: 2.1363598346710204
File: points_prob110_44.txt, Average Fitness: 399.91347095867553, Average Time: 2.043046545982361
File: points_prob110_45.txt, Average Fitness: 415.6256947337747, Average Time: 2.4706223487854
File: points_prob110_46.txt, Average Fitness: 408.84094532346137, Average Time: 2.20228168964386
File: points_prob110_47.txt, Average Fitness: 394.06711538381495, Average Time: 2.56772038936615
File: points_prob110_48.txt, Average Fitness: 421.9290703225121, Average Time: 2.4902464628219603
File: points_prob110_49.txt, Average Fitness: 412.3063308894304, Average Time: 2.013883185386658
File: points_prob110_5.txt, Average Fitness: 401.9215563349836, Average Time: 2.1248398780822755
File: points_prob110_50.txt, Average Fitness: 410.40402562849505, Average Time: 2.275946283340454
File: points_prob110_51.txt, Average Fitness: 396.38383390867017, Average Time: 2.48598792552948
File: points_prob110_52.txt, Average Fitness: 410.18424166885427, Average Time: 2.0874265909194945
File: points_prob110_53.txt, Average Fitness: 421.3877956178766, Average Time: 2.370158243179321
File: points_prob110_54.txt, Average Fitness: 420.8282512913121, Average Time: 2.3144871473312376
File: points_prob110_55.txt, Average Fitness: 398.51259578958417, Average Time: 2.3147074460983275
File: points_prob110_56.txt, Average Fitness: 409.97117475498453, Average Time: 2.1322911739349366
File: points_prob110_57.txt, Average Fitness: 410.43097178378065, Average Time: 2.9417786598205566
File: points_prob110_58.txt, Average Fitness: 408.32897175672593, Average Time: 2.3888275384902955
