File: points_prob210_1.txt, Average Fitness: 807.4002743456815, Average Time: 2.390596389770508
File: points_prob210_10.txt, Average Fitness: 809.0515438481523, Average Time: 2.798487424850464
File: points_prob210_100.txt, Average Fitness: 821.4672006786567, Average Time: 2.104367971420288
File: points_prob210_11.txt, Average Fitness: 790.7844714579192, Average Time: 2.613036632537842
File: points_prob210_12.txt, Average Fitness: 814.6757743399971, Average Time: 2.7606160640716553
File: points_prob210_13.txt, Average Fitness: 793.7845174169156, Average Time: 1.8909387588500977
File: points_prob210_14.txt, Average Fitness: 845.59140873754, Average Time: 2.1512181758880615
File: points_prob210_15.txt, Average Fitness: 846.8100135675934, Average Time: 1.403275489807129
File: points_prob210_16.txt, Average Fitness: 821.977021034791, Average Time: 2.0126147270202637
File: points_prob210_17.txt, Average Fitness: 872.2088317533053, Average Time: 2.8723161220550537
File: points_prob210_18.txt, Average Fitness: 808.6946009153598, Average Time: 2.3616814613342285
File: points_prob210_19.txt, Average Fitness: 839.0029089799452, Average Time: 2.449420213699341
File: points_prob210_2.txt, Average Fitness: 806.9552916225092, Average Time: 2.7536354064941406
File: points_prob210_20.txt, Average Fitness: 830.2301832501624, Average Time: 2.0176308155059814
File: points_prob210_21.txt, Average Fitness: 830.4041787324093, Average Time: 3.1695213317871094
File: points_prob210_22.txt, Average Fitness: 812.2957684292264, Average Time: 1.8500795364379883
File: points_prob210_23.txt, Average Fitness: 827.7749619678293, Average Time: 2.264967679977417
File: points_prob210_24.txt, Average Fitness: 843.803633839023, Average Time: 2.1721878051757812
File: points_prob210_25.txt, Average Fitness: 819.1825787571152, Average Time: 2.3207643032073975
File: points_prob210_26.txt, Average Fitness: 819.4952952877179, Average Time: 1.3364531993865967
File: points_prob210_27.txt, Average Fitness: 806.1217973288352, Average Time: 2.3268027305603027
File: points_prob210_28.txt, Average Fitness: 839.7335539437079, Average Time: 2.4504430294036865
File: points_prob210_29.txt, Average Fitness: 814.3743777137086, Average Time: 2.54120135307312
File: points_prob210_3.txt, Average Fitness: 819.2806716230466, Average Time: 2.010647773742676
File: points_prob210_30.txt, Average Fitness: 812.6310986431848, Average Time: 2.0086629390716553
File: points_prob210_31.txt, Average Fitness: 808.323547887812, Average Time: 2.5830800533294678
File: points_prob210_32.txt, Average Fitness: 817.7372305563225, Average Time: 2.3447258472442627
File: points_prob210_33.txt, Average Fitness: 840.773241225877, Average Time: 1.5658330917358398
File: points_prob210_34.txt, Average Fitness: 823.0962157730769, Average Time: 2.3347811698913574
File: points_prob210_35.txt, Average Fitness: 829.1138922594971, Average Time: 2.2639565467834473
File: points_prob210_36.txt, Average Fitness: 816.6297941124101, Average Time: 2.4963507652282715
File: points_prob210_37.txt, Average Fitness: 839.1467142958259, Average Time: 2.2439815998077393
File: points_prob210_38.txt, Average Fitness: 825.0723130900025, Average Time: 2.267993211746216
File: points_prob210_39.txt, Average Fitness: 815.9761513811226, Average Time: 2.215076208114624
File: points_prob210_4.txt, Average Fitness: 819.5373292531324, Average Time: 2.4953231811523438
File: points_prob210_40.txt, Average Fitness: 809.4438777481815, Average Time: 2.541201591491699
File: points_prob210_41.txt, Average Fitness: 834.4150505277644, Average Time: 1.5179829597473145
File: points_prob210_42.txt, Average Fitness: 821.9925585182184, Average Time: 2.2360451221466064
File: points_prob210_43.txt, Average Fitness: 798.9927438387797, Average Time: 2.6319377422332764
File: points_prob210_44.txt, Average Fitness: 838.5084071554908, Average Time: 2.05450177192688
File: points_prob210_45.txt, Average Fitness: 827.5310285829829, Average Time: 2.3387725353240967
File: points_prob210_46.txt, Average Fitness: 797.4015920887632, Average Time: 2.1103663444519043
File: points_prob210_47.txt, Average Fitness: 838.4392666818856, Average Time: 2.1422643661499023
File: points_prob210_48.txt, Average Fitness: 821.0460843829318, Average Time: 2.963048219680786
File: points_prob210_49.txt, Average Fitness: 808.1639617679591, Average Time: 2.9032583236694336
File: points_prob210_5.txt, Average Fitness: 820.1511296058522, Average Time: 2.345039129257202
File: points_prob210_50.txt, Average Fitness: 838.4030282843021, Average Time: 2.9085512161254883
File: points_prob210_51.txt, Average Fitness: 807.2493893375747, Average Time: 1.912909746170044
File: points_prob210_52.txt, Average Fitness: 840.2345718436028, Average Time: 2.253974199295044
File: points_prob210_53.txt, Average Fitness: 784.304663028392, Average Time: 2.434497356414795
File: points_prob210_54.txt, Average Fitness: 840.3502217252149, Average Time: 2.055485963821411
File: points_prob210_55.txt, Average Fitness: 829.5808910089979, Average Time: 2.086418390274048
File: points_prob210_56.txt, Average Fitness: 822.5353986561286, Average Time: 2.251990795135498
File: points_prob210_57.txt, Average Fitness: 805.3965067931284, Average Time: 1.904900074005127
File: points_prob210_58.txt, Average Fitness: 818.6263898357307, Average Time: 2.0285463333129883
File: points_prob210_59.txt, Average Fitness: 809.8287213358628, Average Time: 1.8819670677185059
File: points_prob210_6.txt, Average Fitness: 813.5383469478452, Average Time: 1.9198670387268066
File: points_prob210_60.txt, Average Fitness: 797.0442692728127, Average Time: 2.059516668319702
File: points_prob210_61.txt, Average Fitness: 812.1326763479321, Average Time: 2.1143617630004883
File: points_prob210_62.txt, Average Fitness: 833.2143113788266, Average Time: 2.0106213092803955
File: points_prob210_63.txt, Average Fitness: 829.3172451480522, Average Time: 2.5860819816589355
File: points_prob210_64.txt, Average Fitness: 836.509768957322, Average Time: 2.4903371334075928
File: points_prob210_65.txt, Average Fitness: 826.7180681556205, Average Time: 2.8045239448547363
File: points_prob210_66.txt, Average Fitness: 828.7676876580722, Average Time: 2.1063671112060547
File: points_prob210_67.txt, Average Fitness: 802.1341761388594, Average Time: 2.089376211166382
File: points_prob210_68.txt, Average Fitness: 844.8500223118308, Average Time: 2.357720375061035
File: points_prob210_69.txt, Average Fitness: 830.9552809522359, Average Time: 2.086418390274048
File: points_prob210_7.txt, Average Fitness: 855.7113847453468, Average Time: 1.7662475109100342
File: points_prob210_70.txt, Average Fitness: 828.438303198877, Average Time: 1.760282278060913
File: points_prob210_71.txt, Average Fitness: 831.1695248528483, Average Time: 2.37567138671875
File: points_prob210_72.txt, Average Fitness: 779.9120624482691, Average Time: 1.8600502014160156
File: points_prob210_73.txt, Average Fitness: 833.8591594164168, Average Time: 2.0056469440460205
File: points_prob210_74.txt, Average Fitness: 825.939646361425, Average Time: 3.0079398155212402
File: points_prob210_75.txt, Average Fitness: 819.4576598704621, Average Time: 2.5023179054260254
File: points_prob210_76.txt, Average Fitness: 844.6757347784944, Average Time: 2.63893985748291
File: points_prob210_77.txt, Average Fitness: 836.8368561315552, Average Time: 2.8962554931640625
File: points_prob210_78.txt, Average Fitness: 850.0413494780074, Average Time: 2.559148073196411
File: points_prob210_79.txt, Average Fitness: 809.9192115075239, Average Time: 2.2879080772399902
File: points_prob210_8.txt, Average Fitness: 796.3233693077665, Average Time: 2.476375102996826
File: points_prob210_80.txt, Average Fitness: 811.5800567785266, Average Time: 2.2579593658447266
File: points_prob210_81.txt, Average Fitness: 802.9564740606891, Average Time: 2.288893222808838
File: points_prob210_82.txt, Average Fitness: 805.1072345442142, Average Time: 1.8500511646270752
File: points_prob210_83.txt, Average Fitness: 839.1761463523645, Average Time: 1.6426048278808594
File: points_prob210_84.txt, Average Fitness: 832.2589997889945, Average Time: 2.025177001953125
File: points_prob210_85.txt, Average Fitness: 806.4307159763789, Average Time: 1.8953802585601807
File: points_prob210_86.txt, Average Fitness: 786.0194840245547, Average Time: 2.837407112121582
File: points_prob210_87.txt, Average Fitness: 815.8373066299974, Average Time: 1.936821460723877
File: points_prob210_88.txt, Average Fitness: 796.2736949640407, Average Time: 1.8899214267730713
File: points_prob210_89.txt, Average Fitness: 810.1838264200258, Average Time: 2.2148892879486084
File: points_prob210_9.txt, Average Fitness: 813.7238416876346, Average Time: 2.108393907546997
File: points_prob210_90.txt, Average Fitness: 813.201483886822, Average Time: 2.0395524501800537
File: points_prob210_91.txt, Average Fitness: 809.1619022392363, Average Time: 1.77601957321167
File: points_prob210_92.txt, Average Fitness: 814.1436102606806, Average Time: 2.893301486968994
File: points_prob210_93.txt, Average Fitness: 840.232287205672, Average Time: 2.6708836555480957
File: points_prob210_94.txt, Average Fitness: 813.5685313580982, Average Time: 1.7333898544311523
File: points_prob210_95.txt, Average Fitness: 860.9755299091028, Average Time: 2.7616379261016846
File: points_prob210_96.txt, Average Fitness: 787.5474561159781, Average Time: 1.6595606803894043
File: points_prob210_97.txt, Average Fitness: 828.8394117708672, Average Time: 2.407559394836426
File: points_prob210_98.txt, Average Fitness: 811.4234472034061, Average Time: 3.1535632610321045
File: points_prob210_99.txt, Average Fitness: 812.2039010862788, Average Time: 2.4095804691314697
