file name, average fitness, average time
File: points_prob110_1.txt, Average Fitness: 419.7085685551595, Average Time: 1.023162579536438
File: points_prob110_10.txt, Average Fitness: 407.06047207934296, Average Time: 1.019375729560852
File: points_prob110_100.txt, Average Fitness: 414.0930043368174, Average Time: 1.1611934185028077
File: points_prob110_11.txt, Average Fitness: 558.8083169670509, Average Time: 0.9445761680603028
File: points_prob110_12.txt, Average Fitness: 415.2697797030913, Average Time: 0.8622901916503907
File: points_prob110_13.txt, Average Fitness: 402.1200947913183, Average Time: 0.9313086748123169
File: points_prob110_14.txt, Average Fitness: 494.63815881016933, Average Time: 0.8505280971527099
File: points_prob110_15.txt, Average Fitness: 734.5879220308399, Average Time: 0.9457720518112183
File: points_prob110_16.txt, Average Fitness: 402.92651084065494, Average Time: 1.081157660484314
File: points_prob110_17.txt, Average Fitness: 582.9373184491054, Average Time: 0.8512226104736328
File: points_prob110_18.txt, Average Fitness: 765.8784390691349, Average Time: 0.5584072351455689
File: points_prob110_19.txt, Average Fitness: 738.3445810980118, Average Time: 0.931307339668274
File: points_prob110_2.txt, Average Fitness: 427.69775043682483, Average Time: 1.188720178604126
File: points_prob110_20.txt, Average Fitness: 421.94906768745557, Average Time: 0.9421820402145386
File: points_prob110_21.txt, Average Fitness: 397.170294132864, Average Time: 0.9092673540115357
File: points_prob110_22.txt, Average Fitness: 408.2038807792106, Average Time: 0.9470665931701661
File: points_prob110_23.txt, Average Fitness: 420.21714251427875, Average Time: 0.971204423904419
File: points_prob110_24.txt, Average Fitness: 431.1313542644173, Average Time: 0.9207369804382324
File: points_prob110_25.txt, Average Fitness: 400.4301513344925, Average Time: 1.0090035200119019
File: points_prob110_26.txt, Average Fitness: 420.54625871307616, Average Time: 0.9288219213485718
File: points_prob110_27.txt, Average Fitness: 742.2663844976857, Average Time: 0.9169440984725952
File: points_prob110_28.txt, Average Fitness: 425.51185452843947, Average Time: 0.95404953956604
File: points_prob110_29.txt, Average Fitness: 428.76522174923883, Average Time: 1.0783164978027344
File: points_prob110_3.txt, Average Fitness: 390.0631412438132, Average Time: 1.0313455581665039
File: points_prob110_30.txt, Average Fitness: 412.0565121802304, Average Time: 1.072130036354065
File: points_prob110_31.txt, Average Fitness: 426.67529560348703, Average Time: 0.9856654405593872
File: points_prob110_32.txt, Average Fitness: 414.84002572600576, Average Time: 1.0754243850708007
File: points_prob110_33.txt, Average Fitness: 421.6202675511001, Average Time: 1.017476463317871
File: points_prob110_34.txt, Average Fitness: 403.1784319373033, Average Time: 0.9566409349441528
File: points_prob110_35.txt, Average Fitness: 389.655681749413, Average Time: 0.9838651418685913
File: points_prob110_36.txt, Average Fitness: 410.6868403853106, Average Time: 1.1152165174484252
File: points_prob110_37.txt, Average Fitness: 411.8231512617799, Average Time: 1.1554102659225465
File: points_prob110_38.txt, Average Fitness: 418.3713679591813, Average Time: 1.326052451133728
File: points_prob110_39.txt, Average Fitness: 411.68363701022963, Average Time: 1.0248565912246703
